home team,away team,time,home team logo,away team logo,home team score,away team score
ASFAN,Sahel, ,YBNMO4S0-beg0eGMp.png,nw4u4QPq-xnh4fzxi.png,1,1
ASGNN,Olympic Niamey, ,pbebi5R0-dKU9Hd2p.png,OrRDlW76-xnh4fzxi.png,2,1
Tagour Provincial Club,Nigelec, ,jwp9kp96-4Stc9pEL.png,vZqaeYBN-tlAL8rN3.png,1,2
Tahoua,Liberte, ,CCfaw0kC-MTUqIOyf.png,OEd6cXiT-z3sVpPkt.png,2,1
Gil Vicente,Estrela, ,hQCcG5AN-MsGVFYVb.png,MDdmzPjC-OtN6V8lD.png,1,1
Benfica,Rio Ave, ,ttVtr6hT-GEKimEim.png,06rYX486-pjxqSmk4.png,4,1
Vizela,Boavista, ,QLNN7HA6-AoD8MJLa.png,Ym0dadjC-jaVfhwwq.png,1,4
FC Porto,Braga, ,A5i3omUH-Kth3Rz1C.png,j3CGCQTH-6JDIcK05.png,2,0
Vilaverdense,Feirense, ,z1UamGT0-hOcbDVeP.png,UZomK1VH-8GL0cHSF.png,2,1
Tondela,AVS, ,foAPIsgT-lYZp7YM7.png,nV4DFA7k-4dtamp8O.png,3,2
FC Porto B,Benfica B, ,Eq4Fywme-Asys8E71.png,2L6o3l6k-zRHKFfX7.png,0,3
Maritimo,Academico Viseu, ,dfD2U196-MyFeHWzn.png,hEMeTfme-SOY3p1Si.png,1,1
Leiria,Santa Clara, ,jPsWKa7k-z7FTG4ed.png,2kJEjthT-GnCsDWFH.png,0,1
Caldas,Sporting CP B, ,UD9X4KQq-2DukPfa4.png,KhqKCZ7k-lYZp7YM7.png,1,0
Nathalys,Juk, ,K2EEzoS0-GItRXbpg.png,IBUhvFWH-bDjGtmPr.png,0,0
Diables Noirs,Otoho d'Oyo, ,Y5NPjWA6-h0mfkpmo.png,fsltLjAN-GItRXbpg.png,1,1
Cheminots,CARA Brazzaville, ,0bwHt296-AqxDH6wm.png,YFrQd5CN-l23EoQzB.png,0,0
Muhazi United,Kiyovu, ,dOzlZKmC-EormkF9q.png,4MJwktne-2cBw5mEH.png,1,1
Sunrise,Police, ,MHig5V5k-WCHAXU8Q.png,dbWjoKA6-WnYHA9YO.png,2,1
APR,Marines, ,As4aJqme-tr1EvBpR.png,8War8zBN-MmmRRgE1.png,-,-
Tre Fiori,Domagnano, ,SKV6X3Pq-4nHGwTWE.png,AFXvz0Qq-lMD1XBvn.png,2,2
Virtus,Tre Penne, ,CG44VHUH-KEDg48Us.png,rD9j1yQq-tMgHdBpr.png,1,2
Spartans W,Glasgow City W, ,MoQorple-06IlARSi.png,x0pD4J7k-4Q7rh2CG.png,1,5
Celtic W,Montrose W, ,xWvmYb7k-j5A92kmE.png,xpZc2Tme-xCRO1YnD.png,9,0
Hamilton W,Hibernian W, ,S6FZ6uAN-bBFWwcmk.png,SKpOKlT0-OIbxe53j.png,0,4
Motherwell W,Hearts W, ,zq63wdiT-lGG6JDDB.png,fBfqQtDN-06IlARSi.png,0,3
Rangers W,Dundee Utd W, ,QwPGdDlC-niKdeomn.png,lO0nYjU0-KvcSZexU.png,10,0
Partick Thistle W,Aberdeen W, ,AaAHtLjT-QVpdW4rT.png,d88dIABN-0SimXqqt.png,2,0
Casa,Jamono Fatick, ,Ojwa2ZRq-xWywdZMO.png,6FF5PPTH-4jPQKQLD.png,1,0
Sonacos,Linguere, ,KUPJiC76-tU5TArZh.png,ARipPGT0-OCwKo6gJ.png,1,1
US Goree,Guediawaye, ,burFoEUH-vgo8E1Ql.png,d6n1qujT-xGJbQ9Is.png,0,0
Bhantal,Ports Authority, ,Gn4iuVoe-p2U9ZHB3.png,tU4Rk4ne-pMvGnnvD.png,1,2
Bo Rangers,East End Lions, ,Es0k6596-6PrTKYmt.png,Ia85zj6k-EVwfgUro.png,-,-
Kahunla,Luawa, ,r9pwC2U0-2coUBJjp.png,riZouzle-hWgyS3V7.png,3,0
Old Edwardians,Kallon, ,2RPPX1jT-fTulyhCs.png,SfP3zjWH-IciwOSVc.png,0,0
Andorra,Leganes, ,SMiBGH8k-p6WBruc4.png,C4WkaSlC-Q3zX1dyT.png,2,3
FC Cartagena SAD,Villarreal B, ,nRnUDVWH-ht99hStl.png,hMm8rJ86-Kbq9kfg1.png,4,1
Gijon,Huesca, ,ziVpaDjC-bBonCJxo.png,pMpCvJkC-EkA5g8Rs.png,0,0
Fuenlabrada,R. Union, ,tbiVSrQq-hzUim4XJ.png,2Lk8SC5k-4U3vjZKk.png,0,0
Celta Vigo B,Gimnastic, ,OYnX3M6k-bBonCJxo.png,hxLXueRq-EPtl0Y0m.png,0,1
SD Logrones,Ponferradina, ,Gn5X4yle-W60kdnp9.png,UFopwyne-0hoCA9Zq.png,0,3
Cornella,Sabadell, ,ULAxVaAN-2ROn1aRj.png,vo9MFPBN-lQiEtZia.png,0,1
Cultural Leonesa,Dep. La Coruna, ,nqcf2egT-vcT321w1.png,t4lB3X76-G2YIZIXN.png,1,0
R. Sociedad B,Osasuna B, ,MwK5O35k-U144u08h.png,hYc8mhU0-0xDmeYSJ.png,2,2
Baleares,Recreativo Huelva, ,zBstsgjC-2ROn1aRj.png,Q1i5tzlC-EkA5g8Rs.png,0,2
Ceuta,Malaga, ,r1QAXB7k-xpqBFn5c.png,4jmiYe8k-I5Xd92rn.png,3,2
Melilla,Murcia, ,U7Vk2lhT-zLx3xGjj.png,zctjQ096-SARwoBEf.png,0,0
